ID;EN;RU;FR
1;Coffee;Кофе;Café
2;Starlight;Звездный свет;Lumière d'étoile
3;Dark Box;Темная коробка;Boîte sombre
4;Deep Sea;Глубокое море;Mer profonde
5;Digital;Цифровой;Numérique
6;Dimension;Измерение;Dimension
7;Eternal;Вечный;Éternel
8;Eye Code;Код глаза;Code de l'œil
9;AI Heart;Сердце ИИ;Cœur IA
10;Jazz;Джаз;Jazz
11;Mix;Смешивание;Mélange
12;Modern DJ;Современный DJ;DJ moderne
13;Sweet Code;Сладкий код;Code doux
14;Truth;Правда;Vérité
15;Ambient;Атмосфера;Ambiance
16;Aria;Ария;Air
17;Breakthrough;Прорыв;Percée
18;Crescendo;Крешендо;Crescendo
19;Encore;Анкор;Encore
20;Echoes;Эхо;Échos
21;Ethereal;Эфирный;Éthéré
22;Euphoria;Эйфория;Euphorie
23;Hocus;Фокус;Hocus
24;Illusion;Иллюзия;Illusion
25;Lifelike;Реалистичный;Réaliste
26;Love;Любовь;Amour
27;Masquerade;Маскарад;Mascarade
28;Muse;Муза;Muse
29;Mirage;Мираж;Mirage
30;Melody;Мелодия;Mélodie
31;My Way;Мой путь;Mon chemin
32;Mystic;Мистик;Mystique
33;Navajo;Навахо;Navajo
34;Fearless;Бесстрашный;Intrépide
35;Phantom;Призрак;Fantôme
36;Presto;Престо;Presto
37;Rhythm;Ритм;Rythme
38;Shadow;Тень;Ombre
39;Sleight;Ловкость;Dextérité
40;Winter;Зима;Hiver
41;Sonic;Звуковой;Sonique
42;Sonata;Соната;Sonate
43;Serenade;Серенада;Sérénade
44;Earth;Земля;Terre
45;White Lion;Белый лев;Lion blanc
46;Trance;Транс;Transe
47;Tempo;Темп;Tempo
48;Valley;Долина;Vallée
49;Whirlwind;Вихрь;Tourbillon
50;Whispers;Шепот;Murmures
51;Reflections;Размышления;Réflexions
52;Bliss;Блаженство;Félicité
53;Reverie;Грезы;Rêverie
54;Oasis;Оазис;Oasis
55;Celestial;Небесный;Céleste
56;Crystal Calm;Кристальная тишина;Calme cristallin
57;Stillness;Безмолвие;Calme
58;Floating;Плавание;Flottant
59;Waves;Волны;Vagues
60;Guided;Ведущий;Guidé
61;Retreat;Уединение;Retraite
62;Balance;Баланс;Équilibre
63;Harmony;Гармония;Harmonie
64;Journey;Путешествие;Voyage
65;Peace;Мир;Paix
66;Mellow;Спокойный;Doux
67;Tranquility;Спокойствие;Tranquillité
68;Mindful;Осознанный;Conscient
69;Ocean;Океан;Océan
70;Lullabies;Колыбельные;Berceuses
71;Sacred;Священный;Sacré
72;Serene;Спокойный;Serein
73;Serenity;Безмятежность;Sérénité
74;Chant;Песнопение;Chant
75;Frequencies;Частоты;Fréquences
76;Meditative;Медитативный;Méditatif
77;Breeze;Бриз;Brise
78;Dreamscape;Пейзаж мечты;Paysage de rêve
79;Zen Garden;Сад дзен;Jardin zen
80;Zen;Дзен;Zen
81;Soundscape;Звуковой пейзаж;Paysage sonore
82;Cadence;Ритм;Cadence
83;Dreamy;Мечтательный;Rêveur
84;Euphony;Благозвучие;Euphonie
85;Whispers;Шепоты;Murmures
86;Haven;Прибежище;Refuge
87;Heavenly;Небесный;Céleste
88;Meditations;Медитации;Méditations
89;Melodies;Мелодии;Mélodies
90;Quiet;Тишина;Silence
91;Relaxation;Расслабление;Relaxation
92;Restful;Спокойный;Reposant
93;Symphony;Симфония;Symphonie
94;Soothing;Успокаивающий;Apaisant
95;Tunes;Мелодии;Airs
96;Tranquility;Спокойствие;Tranquillité
97;Zen Melodies;Мелодии дзен;Mélodies zen
98;Blissful;Блаженный;Bienheureux
99;Calming;Успокаивающий;Apaisant
100;Slumber;Дремота;Sommeil
101;Nightfall;Сумерки;Tombée de la nuit
102;Harmonic;Гармонический;Harmonique
103;Healing;Исцеляющий;Guérison
104;Hushed;Тихий;Silencieux
105;Midnight;Полночь;Minuit
106;Moonlit;Лунный;Au clair de lune
107;Rainforest;Тропический лес;Forêt tropicale
108;Sleepy;Сонный;Somnolent
109;Soothing Night;Успокаивающая ночь;Nuit apaisante
110;Dreams;Мечты;Rêves
111;Twilight;Сумерки;Crépuscule
112;Velvet;Бархат;Velours
113;Whispering;Шепчущий;Chuchotant
114;Barriers;Преграды;Barrières
115;Reflection;Размышление;Réflexion
116;Coffee;Кофе;Café
117;Starlight;Звездный свет;Lumière d'étoile
118;Dark Box;Темная коробка;Boîte sombre
119;Deep Sea;Глубокое море;Mer profonde
120;Digital;Цифровой;Numérique
121;Dimension;Измерение;Dimension
122;Eternal;Вечный;Éternel
123;Eye Code;Код глаза;Code de l'œil
124;AI Heart;Сердце ИИ;Cœur IA
125;Jazz;Джаз;Jazz
126;Mix;Смешивание;Mélange
127;Modern DJ;Современный DJ;DJ moderne
128;Sweet Code;Сладкий код;Code doux
129;Truth;Правда;Vérité
130;Ambient;Атмосфера;Ambiance
131;Aria;Ария;Air
132;Breakthrough;Прорыв;Percée
